자료ID,플랫폼,정리제목,제작자,원본URL,원래목록,활용주제,이전확인수준,기존요약,이번확인주장,이번선별검토,선별인사이트,적용조건,내경험질문,상세정리
sQYQgiHVyAM,YouTube 영상,뭐든 제대로 이해하는 방법,돈공-돈버는공식,https://www.youtube.com/watch?v=sQYQgiHVyAM,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약·품질 주의,"영상은 파인만 학습법을 주제 선택, 설명문 작성, 다시 배우기, 재정리의 반복으로 소개한다. 설명 중 막히는 부분을 찾아 자료로 돌아가고, 책을 보지 않은 채 설명하며 이해 여부를 점검하라고 제안한다.",,없음,,,,sources/youtube/02-learning.md#sQYQgiHVyAM
Vl7K_kqvFiU,YouTube 영상,배우는 즉시 내 것으로 만드는 3가지 방법,돈공-돈버는공식,https://www.youtube.com/watch?v=Vl7K_kqvFiU,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약·품질 주의,"배운 지식을 즉시 활용하는 피드백 루프를 구축하여 학습 효율을 극대화하는 실전 전략을 제시합니다. 약점 집중 공략, 실전 우선 학습, 자가 테스트라는 세 가지 방법을 통해 지식을 온전히 내 것으로 만들 수 있습니다.",한국어 해설은 언어·프로그래밍·글쓰기를 배운 즉시 써보는 피드백 루프와 약한 부분을 떼어 연습하는 방법을 권한다. 모든 것을 미리 준비하기보다 실전에서 부족함을 발견해 돌아가 학습하는 사례를 제시한다.,자막·캡션 구간 직접 대조,"레퍼런스 열 편을 정리한 뒤 쓰려고 기다리는 대신, 한 편을 읽은 뒤 설명 한 문단을 써보고 가장 막힌 지점 하나를 다음 읽기의 질문으로 정할 수 있다. 글쓰기에서 약점은 ‘잘 못 쓴다’가 아니라 도입·예시·근거·마무리 중 특정 부분으로 좁혀 본다.",오류 비용이 낮은 연습·초안에 먼저 적용한다. 고객에게 보내는 사실 설명이나 전문 조언을 미검증 상태로 공개하는 근거로 쓰지 않는다. 실전 우선이 기본기나 필요한 안전 지식을 생략하라는 뜻은 아니다.,지난번 글 한 편에서 가장 오래 멈춘 곳은 어느 문단이었는가? 그 부분만 연습하려면 어떤 작은 과제를 만들 수 있는가?,sources/youtube/02-learning.md#Vl7K_kqvFiU
vNO7YfQF8-o,YouTube 영상,나이 들수록 뇌를 더 빠르게 쓸 수 있는 방법,돈공-돈버는공식,https://www.youtube.com/watch?v=vNO7YfQF8-o,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복 / 별도 확인·배경,영상 직접 분석,"성인 뇌의 가소성도 어린 시절만큼 활발해질 수 있으며, 특정 인식에 집중할 때 분비되는 아세틸콜린이 뇌의 변화를 이끕니다. 시각적 집중을 통해 정신적 집중을 유도하고 생리적 한숨으로 긴장을 조절하면 학습 효율을 극대화할 수 있습니다.",,없음,,,,sources/youtube/02-learning.md#vNO7YfQF8-o
Hq8wPiPiOx8,YouTube 영상,"노력한 만큼 결과가 안나온다면, 당장 이 영상을 보셔야 합니다. | 학습법 | 자기계발 | 공부",북토크,https://www.youtube.com/watch?v=Hq8wPiPiOx8,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,단순히 반복해서 읽는 수동적 학습에서 벗어나 뇌를 효율적으로 활용하는 진짜 공부법을 익혀야 합니다. 인출 연습과 시간 간격 전략을 통해 학습 효율을 극대화하고 지식을 장기 기억으로 전환할 수 있습니다.,"영상 한국어 해설은 읽고 듣기만 반복하면 안다고 느끼기 쉽지만, 자료를 보지 않고 설명하거나 써 보면 실제로 꺼낼 수 있는 내용이 드러난다고 말한다. 시험 보기를 인출 연습의 한 방식으로 소개한다.",자막·캡션 구간 직접 대조,초안을 쓰기 전 원문을 잠시 닫고 핵심 주장·근거·의문을 세 줄로 써 보면 자신에게 남은 것이 보인다. 그 뒤 원문을 다시 열어 틀린 부분을 수정한다. 이를 자기 말로 소화하는 단계로 쓰면 요약문의 표현을 그대로 좇는 일을 줄일 수 있다.,"기억만으로 출처나 정확한 수치를 복원하지 않는다. 최초의 기억 초안은 가설이며, 게시 전 원문 대조가 뒤따라야 한다. 시간 간격·포모도로·뇌 기전에 관한 효과 주장은 이번 인사이트에서 확인하지 않았다.",원문을 닫고 쓴 세 줄과 원문을 다시 보고 고친 세 줄은 어떻게 달랐는가?,sources/youtube/02-learning.md#Hq8wPiPiOx8
ZcFY-7UYuEA,YouTube 영상,단기간에 암기를 잘하는 법 | 7개월만에 의대 합격한 비법 (feat. 장기기억 강화),닥터시바하우스 / Dr. shiba house,https://www.youtube.com/watch?v=ZcFY-7UYuEA,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,"암기는 정보를 입력하는 것이 아니라 뇌에서 끄집어내는 인출 과정이며, 이 반복적 자극이 단기 기억을 장기 기억으로 전환합니다. 시각, 청각, 촉각 등 다중 감각을 동시에 활용하여 키워드를 설명하는 방식이 단기 합격의 핵심 비법입니다.",,없음,,,,sources/youtube/02-learning.md#ZcFY-7UYuEA
pEs-XsVUGKM,YouTube 영상,[#유퀴즈온더블럭] 서울대 교수님이 직접 알려주는 서울대생 공부법📚 교수님의 팩폭으로 얼떨결에 과거 사찰당한 유재석X조세호ㅋㅋ😂 | #Diggle #갓구운클립,tvN D ENT,https://www.youtube.com/watch?v=pEs-XsVUGKM,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,서울대 교수와 의대생이 출연하여 절대적인 시간 투자와 엉덩이의 힘을 강조하는 서울대식 공부 비결을 공개합니다. 완벽주의 대신 전체를 훑는 습관과 문제를 통해 아는 것을 확인하는 메타인지 학습법의 중요성을 제안합니다.,,없음,,,,sources/youtube/02-learning.md#pEs-XsVUGKM
vnDaHldRKu4,YouTube 영상,이 3가지만 기억하세요. 지금보다 무조건 똑똑해질 수 있습니다 (박문호 뇌과학자),스터디언,https://www.youtube.com/watch?v=vnDaHldRKu4,"학습, 배움",학습·생각·글쓰기,자막 기반 요약,"박문호 박사는 지식을 효율적으로 습득하고 고도화하기 위한 세 가지 핵심 프레임으로 대칭화, 모듈화, 순서화를 제시합니다. 복잡한 정보를 단순화하고 체계적으로 구조화함으로써 뇌의 부담을 줄이고 지식의 활용도를 극대화할 수 있다고 강조합니다.",,없음,,,,sources/youtube/02-learning.md#vnDaHldRKu4
o8x6ulAe6Xg,YouTube 영상,책이 통째로 외워지는 공부법. 9개월 만에 사법고시 합격한 이윤규 변호사의 공부 비법 대공개!,김교수의 세 가지,https://www.youtube.com/watch?v=o8x6ulAe6Xg,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,이윤규 변호사는 책의 전체적인 형상을 먼저 파악하고 저자와 소통하며 질문을 던지는 효율적인 회독 공부법을 강조합니다. 게임 연습생 시절의 분석적 태도를 공부에 접목하여 단기간에 사법고시를 합격한 경험과 구체적인 시험 전략을 공유합니다.,,없음,,,,sources/youtube/02-learning.md#o8x6ulAe6Xg
wxbsWdGudcY,YouTube 영상,"이 2가지를 깨닫기 전까진, 절대 포기하면 안됩니다.",범작가,https://www.youtube.com/watch?v=wxbsWdGudcY,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,목표 달성을 위해 자신감과 실행력을 넘어 본질을 꿰뚫는 통찰력과 자만하지 않는 본질 강화의 과정이 필수적입니다. 공부하는 시기를 인내심을 기르고 인생의 핵심 퀘스트를 해결하는 훈련의 기회로 삼아야 한다고 화자는 강조합니다.,,없음,,,,sources/youtube/02-learning.md#wxbsWdGudcY
fMyHGqQd804,YouTube 영상,저는 이 공부법으로 의사가 되었습니다. 딱 2주만 따라하시면 됩니다.,이상욱의 진료실 밖 처방전,https://www.youtube.com/watch?v=fMyHGqQd804,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,1-4-7-14-30 주기로 반복 복습하여 학습 내용을 장기 기억으로 전환하는 효율적인 공부 전략을 제시합니다. 처음 2주 동안 하루 3시간씩 실천하며 자신만의 복습 표시 시스템을 구축하는 것이 핵심입니다.,,없음,,,,sources/youtube/02-learning.md#fMyHGqQd804
qrpyswoATQ8,YouTube 영상,천재들이 어려운 개념을 빠르게 배우는 학습법,노마드 코더 Nomad Coders,https://www.youtube.com/watch?v=qrpyswoATQ8,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,리처드 파인만의 학습법은 복잡한 개념을 아이에게 설명하듯 쉬운 언어로 풀어내며 자신의 지식 공백을 찾아내는 기술입니다. 이 과정을 반복함으로써 단순 암기가 아닌 원리에 대한 깊은 이해에 도달하고 학습을 즐거운 탐구 과정으로 바꿀 수 있습니다.,"노마드 코더는 개념을 조사한 뒤 어린 독자에게 설명하듯 쓰고, 어려운 말에 의존한 부분과 답하지 못한 ‘왜’를 찾아 다시 조사하라고 설명한다. 자막에는 설명을 다시 쓰는 반복 과정과 블록체인 비유 예시가 있다.",자막·캡션 구간 직접 대조,"배운 것을 바로 완성된 교육 콘텐츠로 내기보다 ‘설명 초안 → 내가 막힌 말 → 확인한 근거 → 고친 설명’의 전후 차이를 남기면 학습 기록 자체가 글감이 된다. 가르치는 사람이 처음부터 다 알았다는 연출보다, 자신이 어디서 잘못 이해했는지를 보여 주는 구조다.","쉬운 비유가 정확한 이해의 충분조건은 아니다. 비유가 빠뜨린 조건을 한 줄 덧붙이고, 전문 개념은 공식 문서나 원자료로 점검한다. 영상에서 파인만에게 귀속한 문구의 역사적 원출처까지 확인한 것은 아니다.",나는 이 개념을 설명할 때 어떤 전문 용어 하나에 기대어 이해한 척했는가? 그 말을 빼고 다시 쓰면 어디서 막히는가?,sources/youtube/02-learning.md#qrpyswoATQ8
CNrzvdcU9SE,YouTube 영상,한국에서 발견된 특이한 공부 습관? 서울대가 이 상태라면 더 이상 천재는 없다│해외 한국 교육 반응│다큐프라임│#골라듄다큐,EBSDocumentary (EBS 다큐),https://www.youtube.com/watch?v=CNrzvdcU9SE,"학습, 배움",학습·생각·글쓰기,자막 기반 요약,서울대 우등생들이 교수님의 강의를 토씨 하나 틀리지 않고 받아 적어 암기하는 수용적 학습 태도로 높은 학점을 받는 실태를 조명합니다. 이는 비판적 사고보다 정답 찾기에 치중된 한국 교육 시스템의 한계와 창의성 결여 문제를 시사합니다.,,없음,,,,sources/youtube/02-learning.md#CNrzvdcU9SE
7ZZdqdlkvik,YouTube 영상,"당신의 인생을 바꿔 줄 충격적인 역발상 공부법 (공부법, 암기법, 자격증시험)",곽상빈의 천재혁명,https://www.youtube.com/watch?v=7ZZdqdlkvik,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,곽상빈 변호사는 두꺼운 기본서를 버리고 기출문제부터 공략하는 '역발상 공부법'을 제안합니다. 시험에 나오는 핵심 내용에 집중하여 반복 학습함으로써 최단기 합격을 달성할 수 있다고 강조합니다.,,없음,,,,sources/youtube/02-learning.md#7ZZdqdlkvik
1msHbPWJpic,YouTube 영상,언어를 습득하는 유일한 방법,러닝그라운드,https://www.youtube.com/watch?v=1msHbPWJpic,"학습, 배움",학습·생각·글쓰기 / 가치·관계·삶,자막 기반 요약,스티븐 크라센 박사는 언어 습득이 메시지를 이해하는 '이해 가능한 입력'을 통해서만 유일하게 이루어진다고 주장합니다. 말하기는 습득을 위한 연습이 아니라 충분한 입력을 통해 자연스럽게 나타나는 결과물입니다.,,없음,,,,sources/youtube/02-learning.md#1msHbPWJpic
H9xM1VxFiAM,YouTube 영상,"대원외고, 서울대 로스쿨 졸업한 변호사가 말하는 '사소하지만 강력한 인생 꿀팁' (임현서 변호사)",스터디언,https://www.youtube.com/watch?v=H9xM1VxFiAM,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,임현서 변호사는 예측 불가능한 일상에서 세밀한 시간 계획보다 '진공 상태'를 채울 명확한 행동 강령과 준비가 중요하다고 강조합니다. 공부를 시작하면 놓지 않는 '로트와일러 학습법'과 감정의 스위치를 끄는 훈련을 통해 삶의 효율과 평온을 얻을 수 있다고 설명합니다.,,없음,,,,sources/youtube/02-learning.md#H9xM1VxFiAM
kbkB2aJ0qgY,YouTube 영상,"""인생 날로 먹지 마"" 대원외고, 서울대 경영, 서울대 로스쿨, 변호사 겸 스타트업 대표 임현서쌤 #찍먹과외 | 연고티비",연고티비,https://www.youtube.com/watch?v=kbkB2aJ0qgY,"학습, 배움",학습·생각·글쓰기 / 고객·설득·브랜드 / 실행·지속·회복,자막 기반 요약,임현서 변호사는 시험의 목적에 부합하는 효율적인 공부 전략과 위기감을 동력으로 삼는 철저한 자기관리법을 제시합니다. 단순히 학벌에 안주하지 말고 세상의 흐름을 읽어 실질적인 부를 창출하는 기술을 익힐 것을 강조합니다.,,없음,,,,sources/youtube/02-learning.md#kbkB2aJ0qgY
MNnTEHv9jgw,YouTube 영상,뇌과학이 말하는 「빨리 배우는 가장 게으른 방법」,심리학 고양이,https://www.youtube.com/watch?v=MNnTEHv9jgw,"학습, 배움",학습·생각·글쓰기 / 별도 확인·배경,자막 기반 요약,"뇌과학적으로 효율적인 학습은 무작정 오래 공부하는 것이 아니라, 뇌가 정보를 고착화할 수 있도록 적절한 휴식과 교차 학습을 병행하는 것입니다. 특히 단순 반복 읽기보다 스스로 퀴즈를 내어 회상하는 과정이 장기 기억 형성에 훨씬 효과적이라고 마이클 교수는 설명합니다.",,없음,,,,sources/youtube/02-learning.md#MNnTEHv9jgw
3NSkk31vFbU,YouTube 영상,Why I'm able to study 4 hours with NO breaks (how to stay productive),Kharma Medic,https://www.youtube.com/watch?v=3NSkk31vFbU,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,의대생 유튜버 Nasir가 4시간 동안 휴식 없이 집중하는 공부법과 그 효율성을 설명합니다. 공부 흐름을 깨지 않기 위해 방해 요소를 제거하고 전날 미리 계획하는 것이 핵심입니다.,,없음,,,,sources/youtube/02-learning.md#3NSkk31vFbU
IDB_3S1ezsc,YouTube 영상,My Biggest Studying Mistake - The Feynman Technique,Zach Highley,https://www.youtube.com/watch?v=IDB_3S1ezsc,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,"파인만 기법은 복잡한 개념을 어린아이에게 설명하듯 단순화하여 자신의 이해도를 높이는 강력한 학습법입니다. 화자는 이 기법을 제대로 활용하기 위해 사전 이해와 전문 용어 배제, 그리고 장기 기억을 위한 복습 체계의 결합을 강조합니다.",,없음,,,,sources/youtube/02-learning.md#IDB_3S1ezsc
WrEoKuNRgLU,YouTube 영상,"억대 연봉 구글 임원이 말하는, 1살이라도 어릴 때 알아야.. 앞서가는 것들 (MZ 직장인, 프리랜서 꼭 보세요)",커밍쏜,https://www.youtube.com/watch?v=WrEoKuNRgLU,"학습, 배움",고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"구글 임원 출신 로이스는 성공을 위해 체력, 영어, 네트워크라는 세 가지 핵심 자산을 구축할 것을 강조합니다. 효율적인 시간 관리와 번아웃 예방을 위한 휴식, 그리고 실행을 통한 불안 극복이 성장의 핵심이라고 조언합니다.",,없음,,,,sources/youtube/02-learning.md#WrEoKuNRgLU
ny9tWhuTRoM,YouTube 영상,2백만 달러 짜리 발상전환🤑,미엠지 Me:MZ,https://www.youtube.com/watch?v=ny9tWhuTRoM,"학습, 배움",고객·설득·브랜드,자막 기반 요약,엘리베이터 속도 문제에 대해 기술적 해결 대신 거울을 설치하여 대기 시간의 지루함을 해소한 사례를 소개합니다. 심리적 통찰이 막대한 비용이 드는 기술적 혁신만큼이나 가치 있는 해결책이 될 수 있음을 강조합니다.,,없음,,,,sources/youtube/02-learning.md#ny9tWhuTRoM
HTLJg2Bk_BA,YouTube 영상,한국사 일타강사 최태성 마인드,아는형님 Knowingbros,https://www.youtube.com/watch?v=HTLJg2Bk_BA,"학습, 배움 / 인생수업, 위기의 때",고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,최태성 강사는 가난 때문에 자신의 강의를 듣는다는 학생의 댓글을 보고 큰 책임감을 느꼈다고 회상합니다. 이를 계기로 돈이 있어도 선택할 수밖에 없는 최고의 강의를 만들기 위해 모든 강의를 분석하며 노력했습니다.,,없음,,,,sources/youtube/02-learning.md#HTLJg2Bk_BA
zf1QQRU_4FA,YouTube 영상,The BEST Study Routine for Students (Improve Focus),The Weekly Growth,https://www.youtube.com/watch?v=zf1QQRU_4FA,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복 / 별도 확인·배경,영상 직접 분석,이 영상은 번아웃을 방지하고 집중력을 극대화하는 효율적인 학습 루틴을 제안합니다. 아침의 황금 시간대를 활용하고 적절한 휴식과 수면을 병행하는 것이 핵심입니다.,,없음,,,,sources/youtube/02-learning.md#zf1QQRU_4FA
Wh1YReojzlk,YouTube 영상,서울대 뚫어버리는 공부법 1가지,전교 1등 재헌이,https://www.youtube.com/watch?v=Wh1YReojzlk,"학습, 배움",학습·생각·글쓰기,자막 기반 요약,서울대 출신 강사가 하위권 학생들을 위해 1등급을 달성할 수 있는 '아웃풋 공부법'을 소개합니다. 자습서를 읽고 기억나는 내용을 노트에 반복해서 적으며 부족한 부분을 보완하는 것이 핵심입니다.,,없음,,,,sources/youtube/02-learning.md#Wh1YReojzlk
hSGt_rhu49U,YouTube 영상,How to Be So Productive it Feels ILLEGAL,Dan Martell,https://www.youtube.com/watch?v=hSGt_rhu49U,"학습, 배움 / 인생수업, 위기의 때",고객·설득·브랜드 / 실행·지속·회복,영상 직접 분석,ADHD를 극복하고 초집중 상태를 유지하기 위한 10가지 생산성 해킹 전략을 제안합니다. 의지력에만 의존하기보다 뇌를 속여 몰입을 유도하는 환경과 습관을 설계하는 것이 핵심입니다.,,없음,,,,sources/youtube/02-learning.md#hSGt_rhu49U
Xsxb7IK5lDA,YouTube 영상,진짜 똑똑한 사람은 이렇게 공부합니다,졸라멘탈,https://www.youtube.com/watch?v=Xsxb7IK5lDA,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,"효율적인 학습을 위해 입력보다 출력에 집중하고, 파레토 법칙을 활용해 핵심 20%를 먼저 익히는 것이 중요합니다. 배운 내용을 즉시 남에게 가르치듯 설명하고 주기적으로 복습하면 학습 속도와 기억 지속력을 극대화할 수 있습니다.",,없음,,,,sources/youtube/02-learning.md#Xsxb7IK5lDA
C5OJJD3Eytk,YouTube 영상,"becoming smart is easy, actually","easy, actually",https://www.youtube.com/watch?v=C5OJJD3Eytk,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복 / 가치·관계·삶,자막 기반 요약,"진정한 똑똑함은 단순히 학위가 아니라 실용적인 지식을 습득하고 이를 실제 상황에 적용하는 능력에서 나옵니다. 독서를 통해 지식을 쌓되, 배운 내용을 즉시 실천하거나 상상 속에서 연습함으로써 뇌가 정보를 기억하게 만드는 것이 핵심입니다.",,없음,,,,sources/youtube/02-learning.md#C5OJJD3Eytk
JpYA7WXkHyI,YouTube 영상,How to be a creative thinker | Carnegie Mellon University Po-Shen Loh,EO,https://www.youtube.com/watch?v=JpYA7WXkHyI,"학습, 배움",학습·생각·글쓰기 / 고객·설득·브랜드 / 제품·창업·AI,영상 직접 분석,포셴 로 교수는 AI 시대에 단순 문제 풀이보다 사고력을 기르는 교육의 중요성을 강조합니다. 그는 수학 전문가와 연기 코치를 결합한 교육 생태계를 통해 학생들이 스스로 생각하는 법을 배우도록 돕습니다.,,없음,,,,sources/youtube/02-learning.md#JpYA7WXkHyI
1xqerXscTsE,YouTube 영상,6 Levels of Thinking Every Student MUST Master,Justin Sung,https://www.youtube.com/watch?v=1xqerXscTsE,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,블룸의 교육 목표 분류 체계를 활용해 학습 효율을 높이는 6단계 사고법을 설명합니다. 하위 단계부터 순차적으로 공부하기보다 상위 단계인 '평가'에서 시작해 하위 단계를 자연스럽게 통합하는 전략을 강조합니다.,,없음,,,,sources/youtube/02-learning.md#1xqerXscTsE
dBubRcgQOM8,YouTube 영상,읽은 모든 것을 기억하는 단 2단계 공식,닥터가드너,https://www.youtube.com/watch?v=dBubRcgQOM8,"학습, 배움",학습·생각·글쓰기 / 제품·창업·AI / 실행·지속·회복,영상 직접 분석,학습한 내용의 70%가 하루 만에 잊히는 문제를 해결하기 위해 '소비'와 '소화'로 나뉜 2단계 프레임워크를 제안합니다. 뇌과학적 원리를 바탕으로 정보를 체계적으로 분류하고 연결하여 실질적인 문제 해결 능력을 키우는 방법을 설명합니다.,,없음,,,,sources/youtube/02-learning.md#dBubRcgQOM8
32z8Ax1j-Q4,YouTube 영상,The smartest people have mastered these 6 core skills | Michael Watkins for Big Think+,Big Think 및 Leadership Lessons | Big Think+,https://www.youtube.com/watch?v=32z8Ax1j-Q4,"학습, 배움",학습·생각·글쓰기 / 고객·설득·브랜드 / 실행·지속·회복 / 가치·관계·삶,영상 직접 분석,"전략적 사고는 타고난 자질과 후천적 훈련의 조화로 이루어지며, 누구나 노력을 통해 그 역량을 크게 향상할 수 있습니다. 마이클 왓킨스 교수는 리더가 복잡한 환경에서 올바른 결정을 내리기 위해 갖춰야 할 6가지 핵심 정신 규율을 강조합니다.",,없음,,,,sources/youtube/02-learning.md#32z8Ax1j-Q4
xV6CxfX04yo,YouTube 영상,CIA 스파이처럼 학습 속도 10배 올리는 뇌 훈련법 (쉽고 간단해요) [실제 사용된 방법],일상 속 스파크,https://www.youtube.com/watch?v=xV6CxfX04yo,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,CIA가 스파이 훈련에 사용하는 다섯 가지 뇌 해킹 학습법을 통해 학습 속도와 기억력을 높이는 방법을 소개합니다. 세타파 활용부터 기억의 궁전까지 실생활에 적용 가능한 구체적인 훈련 팁을 제시합니다.,,없음,,,,sources/youtube/02-learning.md#xV6CxfX04yo
ntGRhqkXVA0,YouTube 영상,세계 최고의 뇌과학자가 말하는 20배 더 빨리 배우는 법 (앤드류 휴버맨),성공한스푼,https://www.youtube.com/watch?v=ntGRhqkXVA0,"학습, 배움",학습·생각·글쓰기 / 별도 확인·배경,영상 직접 분석,앤드류 휴버맨은 학습 중간에 짧은 휴식을 취하는 것이 학습 속도를 20배 높인다고 설명합니다. 뇌가 휴식 중 학습 내용을 초고속으로 반복 재생하며 기억을 강화하기 때문입니다.,,없음,,,,sources/youtube/02-learning.md#ntGRhqkXVA0
jgzreTGEb4M,YouTube 영상,The 9 Powerful Mental Models Used By History's Greatest Minds,Dante Borgese,https://www.youtube.com/watch?v=jgzreTGEb4M,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,이 영상은 역사적 인물들이 사용한 9가지 강력한 생각의 도구인 '멘탈 모델'을 소개합니다. 복잡한 문제를 단순화하고 더 나은 의사결정을 내리기 위한 구체적인 사례와 적용 방법을 설명합니다.,,없음,,,,sources/youtube/02-learning.md#jgzreTGEb4M
OQdkjUM3yks,YouTube 영상,How To Learn Any Skill So Fast It Feels Illegal 🚀,Jim Kwik,https://www.youtube.com/watch?v=OQdkjUM3yks,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,"짐 퀵은 뇌의 가소성을 활용해 어떤 기술이든 빠르게 습득할 수 있는 4단계 학습법을 제시합니다. 동기 부여, 집중, 가르치기, 그리고 전략적 연습을 통해 학습 효율을 극대화할 수 있다고 강조합니다.",,없음,,,,sources/youtube/02-learning.md#OQdkjUM3yks
hM2K1Ai3fj4,YouTube 영상,현실을 레벨업하는 5가지 방법 (게임 심리 실전 적용법),졸라멘탈,https://www.youtube.com/watch?v=hM2K1Ai3fj4,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,"게임의 몰입 원리를 일상에 적용하여 생산성을 높이는 다섯 가지 심리 장치를 소개합니다. 목표를 퀘스트처럼 쪼개고 성과를 시각화하며, 성장을 돕는 보상과 적절한 난이도 조절로 삶을 게임처럼 즐길 수 있습니다.",,없음,,,,sources/youtube/02-learning.md#hM2K1Ai3fj4
Ml6nXM6dt7I,YouTube 영상,글 잘 쓰는 이들의 공통점은? 대가의 쉽게 읽히고 쉽게 쓰는 글쓰기 방법 총정리!,셜록현준,https://www.youtube.com/watch?v=Ml6nXM6dt7I,"학습, 배움",학습·생각·글쓰기 / 가치·관계·삶,영상 직접 분석,유홍준 교수는 글쓰기의 핵심이 내가 하고 싶은 말이 아닌 남에게 들려주고 싶은 내용을 쓰는 것이라고 강조합니다. 독자를 배려하는 구체적인 문장 기술과 퇴고 방법을 통해 누구나 공감할 수 있는 글을 쓰는 비결을 전합니다.,"이전 영상 분석 응답은 유홍준의 조언을 ‘잠정적 독자를 상정하고, 글을 소리 내어 읽으며 흐름을 점검한다’고 정리했다. 이번에는 해당 발언을 자막이나 직접 시청으로 재확인하지 못했다.",기존 영상 분석 응답만 검토,"생각을 자유롭게 쏟는 초안과 독자의 이해를 돕는 퇴고를 다른 작업으로 두면, 자신의 목소리와 독자 배려를 함께 다룰 수 있다. 자신의 초안에서 독자가 모를 배경·대명사·생략된 인과를 표시해 설명을 보충하는 편집 실험으로 쓸 수 있다.",화자의 문장 규칙을 모든 장르의 금과옥조로 삼지 않는다. 특히 기존 요약의 접속사·조사 관련 세부 처방은 원영상 재확인 전 인용하지 않는다. 직접 인용하거나 유홍준의 확정 발언으로 발표할 때는 아래 두 시점을 먼저 확인한다.,내가 당연히 알아들을 것이라 생각했지만 독자는 모르는 배경이 이 글에 얼마나 들어 있는가?,sources/youtube/02-learning.md#Ml6nXM6dt7I
KbleIwApqu4,YouTube 영상,[EBS] 적는 자가 살아남는다 | 천재들의 노트 습관 | #지식채널e,EBS 지식채널e,https://www.youtube.com/watch?v=KbleIwApqu4,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,영상 직접 분석,"역사상 위대한 천재들은 각기 다른 분야에서 활동했지만, 자신의 생각을 종이에 기록하는 공통된 습관을 지녔습니다. 뉴턴, 아인슈타인, 에디슨 등은 자신만의 독특한 노트법을 통해 방대한 지식을 체계화하고 창의적인 성과를 거두었습니다.",,없음,,,,sources/youtube/02-learning.md#KbleIwApqu4
cHCfhY_o8WM,YouTube 영상,샤워하면서도 공부를?,play 채널A,https://www.youtube.com/watch?v=cHCfhY_o8WM,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복,자막 기반 요약,역사를 재미있게 암기하는 방법과 샤워 시간을 활용한 효율적인 학습 팁을 공유합니다. 학습 내용을 프린트하여 욕실 벽에 붙여두고 씻는 동안 복습하는 것이 머릿속 정리와 암기에 효과적이라고 강조합니다.,,없음,,,,sources/youtube/02-learning.md#cHCfhY_o8WM
lnZ4ZY_024Y,YouTube 영상,하루 15시간 공부? 이렇게 하면 가능합니다,뇌과학 쓸래요?,https://www.youtube.com/watch?v=lnZ4ZY_024Y,"학습, 배움",학습·생각·글쓰기 / 실행·지속·회복 / 별도 확인·배경,영상 직접 분석,"공부체력은 단순한 의지력이 아니라 뇌 에너지, 집중력, 멘탈을 관리하는 시스템의 결과입니다. 하루 최대 15시간의 순공 시간을 확보하기 위해 환경을 정비하고 점진적으로 집중 시간을 늘리는 훈련이 필요합니다.",,없음,,,,sources/youtube/02-learning.md#lnZ4ZY_024Y
